City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
0,albany,95,US,1616048042,74,42.6001,-73.9662,34,3.83
1,pevek,41,RU,1616048049,97,69.7008,170.3133,-21.82,5.17
2,zhigansk,58,RU,1616048050,85,66.7697,123.3711,-16.06,11.54
3,barrow,75,US,1616047805,77,71.2906,-156.7887,-4,11.5
4,tiksi,75,RU,1616048051,82,71.6872,128.8694,-27.42,6.87
5,punta arenas,0,CL,1616048050,71,-53.15,-70.9167,48.2,18.41
6,east london,75,ZA,1616048051,94,-33.0153,27.9116,69.8,1.14
7,maues,100,BR,1616048052,98,-3.3836,-57.7186,73.51,1.21
8,butaritari,1,KI,1616048053,75,3.0707,172.7902,81.9,10.54
9,rio gallegos,0,AR,1616047892,61,-51.6226,-69.2181,48.2,12.66
10,rikitea,100,PF,1616048053,77,-23.1203,-134.9692,78.33,14.54
11,mataura,0,NZ,1616048054,74,-46.1927,168.8643,57,7
12,marawi,40,PH,1616048054,79,7.9986,124.2928,84,8.01
13,moron,12,AR,1616048055,89,-34.6534,-58.6198,54,1.99
14,arraial do cabo,36,BR,1616048055,88,-22.9661,-42.0278,76.05,21
15,mar del plata,90,AR,1616048056,82,-38.0023,-57.5575,57.99,6.91
16,arman,0,RU,1616048056,68,59.7,150.1667,17.1,3.89
17,bubaque,0,GW,1616048057,69,11.2833,-15.8333,75.74,14.79
18,port-gentil,75,GA,1616048055,100,-0.7193,8.7815,77,4.61
19,snezhnogorsk,40,RU,1616048057,73,69.1933,33.2531,17.6,8.95
20,busselton,0,AU,1616048058,41,-33.65,115.3333,85.41,5.97
21,dikson,100,RU,1616048058,93,73.5069,80.5464,-7.8,11.56
22,bambous virieux,40,MU,1616048059,61,-20.3428,57.7575,84.2,9.22
23,thompson,20,CA,1616048060,50,55.7435,-97.8558,23,5.75
24,bandarbeyla,54,SO,1616048060,67,9.4942,50.8122,80.38,13.09
25,fengcheng,100,CN,1616048061,40,40.4536,124.0717,48.36,6.96
26,cape town,0,ZA,1616048061,82,-33.9258,18.4232,62.6,6.91
27,tuktoyaktuk,1,CA,1616048062,69,69.4541,-133.0374,-20.2,5.75
28,barinas,3,VE,1616047811,73,8.6226,-70.2075,78.8,4.61
29,pangai,20,TO,1616048063,78,-19.8,-174.35,82.4,4.61
30,isetskoye,100,RU,1616048063,86,56.4858,65.3226,26.15,9.55
31,korla,100,CN,1616048064,45,41.7597,86.1469,44.62,13.76
32,sfantu gheorghe,100,RO,1616048064,95,45.8667,25.7833,33.01,5.97
33,los llanos de aridane,0,ES,1616048064,67,28.6585,-17.9182,62.6,10.36
34,imeni poliny osipenko,57,RU,1616048065,67,52.4201,136.4853,28.26,5.32
35,saint-francois,0,FR,1616048066,93,46.4154,3.9054,35.6,4.61
36,new norfolk,0,AU,1616048066,39,-42.7826,147.0587,78.01,3
37,hilo,90,US,1616047478,78,19.7297,-155.09,69.8,5.75
38,kapaa,20,US,1616047990,78,22.0752,-159.319,70,24.16
39,carutapera,100,BR,1616048067,92,-1.195,-46.02,75.74,4.05
40,gigmoto,23,PH,1616048067,73,13.7796,124.39,84.58,6.87
41,owo,85,NG,1616048068,96,7.1962,5.5868,71.98,3.65
